Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2862,294,22,120,18,1273,154,229,213,1323,Commanche,7757,1
2988,210,11,90,0,5366,211,251,174,2024,Rawah,7202,1
3107,51,6,212,-13,2455,223,227,139,2322,Commanche,7756,1
3189,5,21,362,49,1765,188,194,139,1900,Commanche,8772,1
2623,162,10,30,1,1106,230,243,144,6332,Rawah,7745,2
2952,253,9,350,43,5753,199,246,185,3284,Rawah,7745,2
3078,5,6,488,79,2927,213,229,154,1725,Commanche,7756,2
2777,41,20,60,15,3853,218,193,101,1154,Rawah,7202,2
2864,196,19,180,83,1767,213,252,167,1431,Commanche,7757,2
2805,2,11,247,27,2364,205,219,151,3613,Rawah,4744,2
3129,355,11,134,20,2100,202,221,156,819,Commanche,7202,1
3255,318,11,124,22,4725,190,230,179,2734,Commanche,7756,1
3070,267,9,85,9,5580,198,244,185,2177,Rawah,7202,2
2433,189,24,85,28,1167,214,250,157,1065,Commanche,2705,3
2770,112,34,295,188,1231,254,183,27,886,Commanche,4758,2
2887,79,11,0,0,2430,234,220,117,404,Commanche,4758,1
2987,351,3,481,2,1830,214,234,158,1082,Commanche,7756,2
2620,333,29,351,183,779,142,190,180,1332,Commanche,7757,2
2955,333,11,524,128,4939,196,226,170,5232,Rawah,4744,1
3076,35,6,218,12,2735,219,227,144,1710,Commanche,7756,2
3140,80,19,424,81,1714,241,203,85,2846,Rawah,7745,2
2870,355,13,335,21,2941,197,216,155,2781,Rawah,4744,2
2808,180,3,150,20,1087,220,241,156,1090,Commanche,2703,3
3122,357,5,175,10,3820,212,231,156,1477,Rawah,7745,1
2772,333,24,85,40,3365,157,201,179,6027,Rawah,7745,1
2814,102,21,573,185,2647,249,208,78,1936,Commanche,4703,3
3034,26,15,85,11,2553,212,206,128,960,Commanche,7201,1
3339,54,10,90,18,2252,226,218,124,1053,Commanche,8772,7
3358,352,8,470,99,1034,206,226,158,2683,Commanche,7756,1
3015,80,12,67,11,2154,236,218,111,1595,Commanche,7755,2
3185,295,5,433,82,5654,206,238,172,1279,Rawah,7745,2
3123,109,30,247,87,3012,254,192,43,2839,Rawah,7745,1
3135,146,14,212,57,150,238,237,126,2164,Neota,7756,1
3387,345,11,541,48,1429,197,222,163,1324,Commanche,8771,7
3146,138,7,85,10,2812,231,238,139,5654,Rawah,7745,1
3048,22,18,525,279,940,206,199,125,1440,Commanche,7755,1
2884,167,11,201,35,3282,229,244,146,3403,Rawah,7746,2
2967,103,20,792,169,3107,249,211,81,721,Commanche,4703,2
3069,31,1,170,2,3325,218,235,154,1358,Rawah,7202,2
2941,330,26,256,109,268,148,198,183,1026,Rawah,7746,2
2975,6,2,67,5,5579,216,234,155,2201,Rawah,7201,1
2809,39,16,67,23,2290,219,203,114,3234,Rawah,7745,1
2692,128,14,108,12,1766,242,231,114,2402,Commanche,4703,2
3041,207,12,60,10,2003,212,251,173,120,Commanche,7755,1
2581,81,15,216,3,524,239,213,101,1177,Rawah,4744,2
2991,9,8,85,11,3764,211,224,150,2382,Rawah,7745,1
2939,270,2,390,49,4366,214,239,163,5772,Rawah,4744,2
3298,94,12,661,253,3715,238,222,113,2142,Commanche,7756,1
2732,129,18,67,9,2679,247,226,101,2403,Rawah,7746,2
2653,148,20,60,15,1354,242,234,113,6417,Rawah,7745,2
3211,267,20,300,103,256,164,244,217,661,Neota,7201,1
2902,97,20,0,0,268,248,207,79,1183,Rawah,7745,1
3213,315,4,594,29,845,210,236,165,1894,Commanche,7755,1
3113,93,22,95,34,1355,248,199,68,1766,Commanche,4758,1
2735,3,17,0,0,1207,195,205,145,2028,Commanche,7102,1
3234,303,15,390,91,4522,178,231,194,1120,Rawah,7745,2
2352,21,19,313,208,1018,205,197,124,1369,Cache,4703,3
2839,356,23,454,152,2574,175,191,148,2063,Rawah,7745,2
2534,66,9,42,-2,691,229,221,124,212,Rawah,6101,2
2287,349,36,277,162,1026,132,156,146,1231,Cache,4703,3
3004,331,25,360,173,376,153,200,181,930,Rawah,7746,2
2833,302,15,351,-50,1304,178,232,194,1448,Commanche,7700,2
3201,163,15,618,-17,824,233,243,136,2110,Commanche,7757,2
3179,309,16,674,40,1956,176,228,192,466,Commanche,7757,1
3129,94,18,283,31,5089,246,210,87,150,Rawah,7746,2
3252,180,14,342,45,4192,225,248,153,2165,Commanche,7757,1
2893,32,21,361,99,1273,211,190,107,2784,Commanche,7757,2
3154,189,17,420,52,134,218,251,160,2877,Commanche,7202,2
3472,84,20,495,38,2590,244,201,78,2089,Rawah,8776,1
2966,295,16,182,51,5836,173,234,201,1288,Rawah,7745,2
3126,239,13,201,8,2468,196,251,191,450,Commanche,7755,2
2737,44,33,540,184,914,207,148,52,2067,Commanche,4758,2
3330,118,27,510,173,4052,254,204,59,2718,Commanche,7757,1
3222,273,4,382,39,5800,209,241,170,2139,Rawah,7201,2
3083,165,13,108,0,6863,231,244,142,2876,Rawah,7746,2
2768,115,10,150,9,2003,237,231,123,916,Rawah,4744,2
2892,2,9,30,4,3181,208,224,153,1902,Rawah,7745,2
3103,131,25,335,112,379,251,218,79,1705,Commanche,7201,2
2331,346,29,201,90,1298,151,180,158,1060,Cache,4703,3
3415,48,6,808,-77,840,223,227,140,324,Neota,8771,7
3294,195,16,674,92,2502,216,251,165,1571,Commanche,8771,2
3115,322,11,339,-31,2634,192,229,177,525,Commanche,7202,1
2320,305,21,192,36,1114,158,223,204,824,Cache,2717,3
3000,76,22,524,183,810,241,194,73,830,Commanche,7757,2
2998,34,13,767,103,1289,218,212,128,1888,Commanche,7757,2
3221,77,14,376,89,721,237,212,103,5446,Neota,7201,1
2720,333,7,242,53,1112,203,230,166,1921,Rawah,4744,2
2942,73,16,124,-16,391,237,209,99,484,Rawah,7745,1
2875,207,13,391,75,2363,211,252,174,1956,Commanche,7702,2
2796,151,10,268,60,1155,233,240,138,497,Commanche,7790,2
3107,45,10,339,32,4567,223,217,128,3055,Rawah,7745,1
3123,28,11,376,17,3732,216,215,134,3730,Rawah,7745,1
3018,101,15,424,171,6226,244,218,99,4008,Rawah,7745,2
2917,18,3,30,0,1240,217,233,153,3112,Rawah,7202,1
3073,117,11,42,5,1634,238,230,121,2442,Rawah,7745,2
2832,12,22,150,17,2040,191,189,128,1476,Commanche,7757,1
2312,24,33,150,42,674,182,150,84,660,Cache,4703,6
3146,23,9,212,14,1608,215,221,142,1033,Neota,7700,2
2781,81,3,0,0,1987,223,234,146,1871,Commanche,7202,1
3138,209,18,384,68,1865,204,254,180,819,Rawah,7745,1
3113,233,5,60,8,2125,212,244,169,663,Commanche,7202,2
3099,218,11,85,-3,2143,208,250,177,674,Commanche,7756,2
3123,268,9,474,69,335,197,244,185,807,Commanche,7756,2
2708,356,13,210,58,1092,198,216,155,2044,Rawah,4744,2
2033,83,12,0,0,495,237,219,112,607,Cache,6102,3
2564,55,15,210,38,497,228,207,109,914,Cache,2717,3
3045,218,15,331,23,1266,202,253,184,576,Commanche,7757,2
3271,187,17,571,57,679,220,250,158,2591,Commanche,4758,2
2956,280,10,509,148,1616,193,241,188,1237,Commanche,7755,2
2974,99,22,277,-33,488,250,204,71,966,Rawah,7745,1
3185,33,16,720,10,4109,215,205,121,4026,Rawah,7745,1
3182,125,13,134,14,3047,242,230,115,5181,Rawah,7745,1
2829,94,15,234,38,2610,242,217,101,1803,Rawah,7745,2
2854,51,19,268,18,3481,226,196,97,5279,Rawah,7745,2
2906,33,11,124,6,5176,218,216,133,4213,Rawah,7745,2
3127,132,22,201,65,2368,249,223,91,1530,Commanche,7709,1
3017,108,13,443,106,2516,242,224,109,1766,Commanche,7756,2
3280,269,13,721,158,3725,185,244,199,2138,Commanche,7757,1
3243,45,3,510,64,4402,220,233,150,2701,Rawah,7201,1
3088,190,5,437,34,2724,220,244,159,1867,Commanche,7756,2
2311,17,23,342,158,1149,194,185,119,571,Cache,4703,3
3216,270,10,0,0,1044,194,244,189,1954,Neota,7202,1
3060,0,1,390,69,5783,217,236,156,4751,Rawah,4744,2
3395,253,18,569,11,1549,178,249,208,3921,Neota,7757,1
3257,340,5,212,11,4333,210,233,162,685,Rawah,8771,1
2469,72,24,30,-6,1140,239,187,66,1001,Commanche,4703,6
2868,263,39,162,87,2335,98,225,247,1627,Commanche,4758,1
3027,351,5,531,42,4081,212,232,158,4380,Rawah,7745,2
2903,28,8,700,213,2102,217,223,141,1825,Commanche,4758,5
3198,286,7,210,17,2907,201,240,179,1383,Commanche,7202,1
2389,132,22,190,52,277,249,222,89,767,Commanche,2705,3
1996,34,33,42,22,153,195,149,68,513,Cache,4703,3
3382,66,17,577,47,2177,234,203,95,2704,Neota,8772,1
3286,94,18,210,-11,2445,246,209,85,3810,Neota,7757,1
3013,147,13,268,59,1637,238,238,128,2310,Commanche,7756,2
3022,234,17,216,26,1896,190,253,197,1410,Commanche,7202,1
3365,301,32,513,148,732,118,208,222,1041,Neota,7757,1
3006,9,27,690,137,2412,180,176,124,1804,Commanche,7700,2
