Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3004,49,110,108,14,3551,224,218,127,5309,Rawah,7745,2
3113,24,110,180,37,1194,187,159,92,942,Rawah,7201,1
2531,156,110,30,-9,1571,238,238,119,1443,Commanche,2703,2
2824,155,17,153,50,781,238,239,125,2981,Commanche,2701,2
3133,61,11,258,23,2040,229,218,121,3188,Commanche,2701,1
3256,92,26,85,16,2275,250,190,53,642,Commanche,8772,7
2677,42,12,30,-1,2268,222,213,125,2043,Rawah,6101,2
3403,135,7,671,174,690,232,237,137,421,Neota,8776,7
3122,349,7,400,85,2580,207,228,160,1302,Commanche,7756,1
2944,25,17,661,160,1277,209,201,124,2595,Commanche,7757,2
2975,43,11,342,7,3341,222,216,127,6096,Rawah,7745,2
2514,47,34,300,107,1291,209,146,46,664,Commanche,4703,3
2485,180,14,0,0,1616,225,248,153,1099,Commanche,6101,2
3191,203,12,0,0,2155,214,251,170,3971,Neota,7202,1
2836,353,24,277,87,2226,173,192,151,1168,Commanche,7757,2
2978,183,13,120,16,5530,223,248,156,2568,Rawah,7745,1
3069,74,14,120,27,789,236,213,106,2006,Rawah,7745,1
3202,27,10,60,15,2372,216,219,138,2866,Rawah,7201,1
3001,56,12,418,62,6195,228,215,118,3893,Rawah,7700,2
2866,310,12,216,68,3214,187,232,185,509,Commanche,7756,2
3084,177,16,42,4,1550,226,247,148,2313,Commanche,7757,1
3298,12,6,67,8,1445,214,228,151,865,Rawah,8771,1
2908,96,39,242,163,2101,248,154,0,612,Commanche,4758,5
3128,126,13,60,12,540,242,231,115,2148,Rawah,7202,1
3145,56,23,360,104,1215,228,184,77,1252,Commanche,7756,1
3124,322,14,636,203,3215,183,225,181,2288,Commanche,7755,1
2707,15,7,408,76,1414,214,226,149,1608,Rawah,4744,2
2797,52,27,270,125,300,222,171,67,1774,Rawah,7745,5
3177,95,8,60,-8,1645,233,229,128,1601,Rawah,7745,1
2942,55,6,60,-6,6004,224,227,139,3817,Rawah,7700,1
2707,70,12,242,39,1140,233,217,114,2995,Rawah,4744,2
2888,259,14,150,49,2629,185,247,200,2377,Commanche,4758,2
