Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2723,185,17,30,9,1421,221,250,156,2190,Rawah,4744
2929,332,7,0,0,2100,204,231,167,2145,Commanche,7202
3183,65,12,474,107,1351,231,216,116,1770,Commanche,7757
3157,201,15,977,296,4288,212,252,170,1500,Commanche,7755
3043,135,2,541,76,4462,222,238,151,1554,Rawah,7745
3120,137,10,162,25,1412,236,236,130,1786,Commanche,7756
2733,20,13,532,76,569,211,212,136,797,Commanche,4704
2722,58,3,0,0,3342,222,233,147,1575,Rawah,6101
2699,147,19,242,65,2479,242,235,114,2271,Commanche,2705
3207,38,10,371,59,5590,220,217,131,2431,Rawah,7745
2992,106,12,95,16,1543,241,225,112,1943,Rawah,7201
3372,321,15,977,173,1032,182,224,182,765,Neota,7202
3029,274,11,234,67,175,192,243,191,751,Rawah,7201
2434,68,19,450,98,696,236,198,86,1379,Cache,4703
2979,98,14,342,-43,752,242,220,105,1871,Rawah,7745
3172,292,15,42,-1,732,178,236,198,2431,Neota,7202
3043,14,10,212,38,1154,210,218,144,1328,Commanche,7756
2854,258,29,228,88,1932,138,241,233,1611,Commanche,4758
3228,202,14,255,79,1486,212,252,171,4300,Neota,7201
2779,282,18,150,-10,2429,167,238,210,277,Commanche,7757
3042,7,9,170,30,4685,209,222,150,603,Rawah,7746
2962,85,10,90,10,4231,235,223,119,2121,Rawah,7102
3100,96,24,420,164,1530,250,198,62,2591,Commanche,7757
3187,146,17,270,29,2434,241,236,119,569,Commanche,7755
2784,133,21,360,137,2268,248,224,94,2214,Commanche,2705
2384,350,11,474,142,1507,200,221,160,735,Cache,2717
2596,129,20,175,37,1527,248,224,95,2460,Commanche,2705
3201,199,17,750,117,404,212,252,170,2469,Commanche,7202
2968,6,15,638,189,3061,201,210,145,882,Commanche,4703
3579,61,19,979,167,2583,232,197,90,1440,Rawah,8776
2851,262,17,323,129,2389,176,246,208,437,Commanche,7757
3058,352,7,228,26,1120,208,228,158,1339,Neota,7202
2858,71,19,313,89,1739,238,199,85,1836,Commanche,7757
3375,166,11,1082,136,2831,229,244,145,1736,Commanche,8771
2966,196,16,420,45,1940,215,252,167,2001,Commanche,7756
3046,306,4,256,62,2536,208,237,168,959,Rawah,7745
3358,146,9,285,29,849,232,239,139,4156,Neota,7756
2849,160,12,297,51,3583,232,242,140,3273,Rawah,4744
2637,50,4,0,0,892,221,231,146,1321,Commanche,7757
2097,311,30,42,24,570,126,203,210,218,Cache,4703
2815,17,8,170,29,2089,214,223,146,3015,Rawah,7745
2986,240,25,242,73,5207,166,251,216,1489,Rawah,7745
3335,302,32,457,128,700,116,207,222,1055,Neota,7757
2799,57,11,162,33,2125,228,216,120,702,Commanche,4703
2771,60,4,424,12,1747,223,231,144,866,Rawah,4744
3147,349,10,256,-30,799,202,223,160,1092,Neota,7201
3389,183,13,720,183,1732,223,248,155,1470,Commanche,8771
3183,172,7,335,32,2395,225,243,152,912,Rawah,7201
2625,78,16,150,15,882,239,208,94,684,Rawah,4201
2955,315,9,30,3,4535,196,233,176,5428,Rawah,7102
2739,296,13,67,11,2456,182,235,193,6428,Rawah,7745
3004,6,7,175,22,3019,211,226,152,6158,Rawah,7745
3044,146,23,90,3,3774,244,230,102,5236,Rawah,7746
2565,59,22,175,48,1892,231,188,79,658,Commanche,2705
2572,54,20,85,-7,641,227,192,89,1320,Commanche,4703
2962,270,6,180,23,5931,205,242,176,3987,Rawah,7700
3135,140,4,0,0,760,225,238,148,2340,Neota,7101
2875,167,15,180,37,977,231,244,140,2244,Commanche,7757
3210,14,4,60,0,5326,216,231,153,832,Rawah,7201
3346,122,10,361,111,3130,238,232,124,3241,Commanche,8772
3185,101,27,234,96,1022,252,194,52,1182,Rawah,7745
3064,204,9,716,30,6208,215,249,168,3167,Rawah,7745
3312,95,17,481,155,1206,245,212,89,1068,Commanche,8776
2941,57,14,108,18,484,229,209,110,1601,Commanche,7756
2882,178,5,30,4,3780,223,243,155,3790,Rawah,7202
2037,51,42,108,84,170,201,115,9,297,Cache,2702
3027,31,16,175,0,1350,214,203,120,875,Commanche,7700
3306,298,14,382,76,4269,180,234,194,1731,Commanche,8772
2965,47,8,488,30,2028,223,223,135,942,Commanche,7202
3228,60,8,661,152,830,226,224,132,1276,Rawah,7201
3402,250,15,598,8,1527,186,250,200,3926,Neota,7757
3093,198,11,67,2,1894,217,249,166,510,Rawah,7202
3236,28,15,633,68,1530,213,207,127,2371,Neota,7757
2938,123,13,127,35,3339,241,230,116,1813,Rawah,7746
3048,329,24,242,46,3522,155,203,184,2106,Commanche,7700
2898,315,2,30,0,912,214,237,161,2816,Rawah,7202
3285,356,3,837,137,6305,214,234,157,1809,Rawah,7745
3302,1,9,331,79,3062,207,223,153,3270,Commanche,7700
2952,176,3,481,125,4928,221,241,156,5170,Rawah,7102
3223,315,3,182,-6,4656,212,237,163,685,Rawah,8771
3260,278,11,240,38,4854,189,242,192,1036,Rawah,7745
3128,37,9,90,0,5250,220,220,135,2245,Rawah,7202
2530,29,8,90,6,534,217,222,140,5616,Rawah,6731
2391,335,22,175,65,1411,166,206,175,350,Cache,4703
2881,319,33,240,111,633,120,191,201,1116,Commanche,7757
2890,239,6,60,6,1611,210,245,173,1595,Commanche,7756
3007,42,7,30,8,4538,221,225,139,2076,Rawah,7745
2668,187,19,300,75,2940,219,250,157,1897,Commanche,4758
3435,72,14,443,142,2353,235,213,106,2440,Rawah,8772
3214,191,18,366,60,3439,216,251,162,830,Commanche,7756
3010,22,9,67,14,778,215,221,143,1410,Commanche,7202
2301,349,27,150,77,268,162,185,155,1116,Cache,4703
3179,16,13,268,28,1538,208,213,140,865,Neota,7756
3081,122,10,120,7,4336,238,232,124,890,Rawah,7745
3318,54,6,0,0,1406,224,227,138,3473,Neota,8771
3130,354,7,210,45,592,208,227,157,949,Neota,7201
2548,40,15,360,48,420,220,206,117,824,Rawah,4744
2985,133,12,67,14,1597,239,234,122,1794,Commanche,7756
3160,147,11,234,44,2460,235,239,134,3054,Commanche,7700
3140,12,10,454,42,1706,210,220,146,2711,Commanche,7755
2042,55,34,285,81,350,218,148,37,240,Cache,2706
2966,66,10,124,17,1800,230,220,122,95,Commanche,7756
3113,68,10,351,32,1718,231,220,121,2949,Commanche,7756
2916,299,2,300,52,1994,212,238,164,900,Commanche,7755
3302,35,18,270,68,1731,216,199,113,2232,Rawah,8772
2315,87,9,127,35,618,233,226,125,780,Cache,2705
2909,129,9,212,45,2746,235,235,130,1924,Rawah,7745
3357,173,15,418,65,2984,228,246,146,1245,Commanche,7756
3059,159,14,488,166,2154,234,242,134,1339,Commanche,4758
3246,152,8,242,46,3015,230,240,142,255,Commanche,7201
2537,9,19,30,9,601,195,199,137,3226,Rawah,7102
2731,33,20,67,37,1461,212,192,108,1008,Commanche,7755
2876,9,8,484,52,2264,211,224,150,2666,Rawah,7745
3126,7,17,150,23,4295,196,203,141,3010,Rawah,7745
2797,21,21,309,10,3005,202,192,120,2388,Commanche,4703
2680,31,12,127,27,2084,216,213,130,1924,Commanche,4703
3139,104,4,42,0,3018,226,234,143,3433,Rawah,7202
3074,38,3,201,45,1353,219,233,150,2684,Rawah,7745
3233,76,14,108,7,2676,237,212,104,1624,Commanche,8771
2959,5,11,841,161,3059,206,219,150,911,Commanche,4703
2967,222,11,210,36,1922,206,251,180,1423,Commanche,7755
2978,68,8,216,-10,1560,229,223,127,1687,Rawah,7201
3058,36,19,870,-1,1510,215,195,109,2118,Commanche,7757
3342,106,14,618,119,3111,243,222,104,2671,Commanche,7756
3755,2,17,1064,346,4953,194,206,146,3087,Commanche,8776
3263,36,7,134,5,6370,220,225,141,108,Rawah,7201
3116,155,10,270,-12,6385,231,241,141,2505,Rawah,7745
3079,210,7,134,0,1742,215,246,167,541,Rawah,7202
2823,110,6,674,35,751,230,234,138,1430,Commanche,4704
2560,183,18,95,21,1235,222,249,153,1974,Commanche,2705
