Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2464,315,13,67,28,376,184,229,184,1900,Cache la Poudre,2717,3
3024,29,11,127,23,4183,216,216,134,3743,Rawah,7745,2
2744,344,16,390,139,1087,186,213,165,1158,Commanche Peak,7757,2
3317,158,17,437,117,2979,236,240,128,633,Commanche Peak,7756,1
2742,90,20,228,93,1187,246,205,80,853,Commanche Peak,4758,2
3030,6,7,30,4,2173,212,226,152,1777,Commanche Peak,7102,2
3453,338,13,553,118,1148,192,222,168,1519,Neota,8776,7
2676,42,7,242,19,283,221,225,138,918,Commanche Peak,4704,2
3323,126,10,313,99,2984,237,233,126,3194,Commanche Peak,8772,7
2868,330,8,182,31,2539,201,231,169,2551,Rawah,7745,2
2245,6,21,170,85,598,188,193,137,1613,Cache la Poudre,4703,3
3034,344,4,175,1,1348,211,233,160,2784,Rawah,7202,1
2520,291,13,300,134,926,183,237,195,1410,Cache la Poudre,4703,2
2887,98,20,552,139,573,248,207,78,1638,Rawah,7746,5
2828,39,9,30,0,1301,221,219,133,883,Commanche Peak,7202,1
3008,329,12,467,164,5340,190,225,174,5139,Rawah,7700,2
3148,55,13,175,13,4753,228,211,114,2805,Rawah,7745,1
2792,34,9,85,8,3203,219,221,137,2496,Rawah,7102,2
2742,22,21,190,-23,2101,202,191,119,781,Commanche Peak,4703,2
2654,62,16,450,110,1106,232,205,101,1524,Rawah,7746,2
2831,215,32,228,129,2688,170,249,196,1008,Commanche Peak,2705,2
3017,46,22,212,52,5118,221,188,92,2352,Rawah,7745,1
2341,322,25,42,16,108,150,207,192,319,Cache la Poudre,4703,3
3247,146,7,525,40,1199,230,239,142,2461,Commanche Peak,7757,2
3304,63,11,150,-9,2710,230,218,120,2565,Rawah,7746,1
3135,0,0,240,0,3842,218,238,156,1332,Rawah,7745,1
3221,128,8,127,1,2806,234,235,132,811,Rawah,7202,1
2944,189,15,162,7,2495,219,250,160,895,Commanche Peak,4758,1
2811,93,5,67,7,2292,227,233,140,2313,Rawah,4744,1
2829,355,18,180,74,1326,189,206,153,2312,Commanche Peak,7757,2
2798,355,13,466,195,1332,197,216,155,1092,Commanche Peak,7700,2
3030,261,22,624,230,2118,161,245,220,1071,Commanche Peak,7757,2
2540,87,22,212,50,1057,246,197,68,841,Commanche Peak,2705,3
2587,221,17,319,73,854,197,254,189,1565,Commanche Peak,2705,3
2364,302,8,0,0,534,199,237,177,1358,Cache la Poudre,6101,3
2799,6,4,0,0,4679,214,231,154,4836,Rawah,7746,2
3341,227,8,192,25,3816,209,248,176,1981,Commanche Peak,8771,7
2794,45,15,228,27,2293,223,207,115,1294,Rawah,4744,2
2977,193,14,258,1,5069,217,251,164,1423,Rawah,7745,2
2781,153,11,30,-1,1209,233,241,137,1092,Commanche Peak,2703,2
3314,275,25,534,168,495,146,237,226,902,Neota,7201,1
2980,140,34,342,132,2249,247,209,61,1766,Commanche Peak,4758,2
2664,50,8,624,-2,716,224,223,133,1430,Rawah,7745,2
2843,40,12,0,0,4065,221,213,125,3210,Rawah,7202,2
3000,177,16,693,53,2940,226,247,148,2322,Commanche Peak,7702,2
3390,142,31,255,152,3810,247,215,72,3288,Commanche Peak,7757,7
3241,21,11,658,30,3554,213,217,140,4124,Rawah,7202,1
2655,50,4,400,127,787,222,231,145,1110,Commanche Peak,2703,3
3188,47,12,30,6,2936,224,214,123,5112,Rawah,7745,1
2746,7,12,95,10,1546,205,216,148,1321,Commanche Peak,4703,1
2402,287,19,382,193,384,163,235,211,752,Cache la Poudre,4704,3
2962,60,9,127,22,1538,227,221,127,541,Commanche Peak,7756,2
2725,34,11,30,-1,1482,219,217,133,1357,Commanche Peak,7101,1
2735,3,9,30,1,1608,208,223,152,2818,Rawah,7202,2
2883,11,10,30,0,1231,210,221,147,1684,Commanche Peak,7202,2
2983,49,9,443,18,993,224,221,131,2138,Rawah,7745,2
3052,95,8,474,55,2818,233,229,128,914,Commanche Peak,7756,1
2565,21,18,170,88,972,206,200,127,1448,Commanche Peak,4703,2
2922,48,7,90,9,3540,223,225,138,4242,Rawah,4744,2
2827,107,6,30,2,2803,231,232,134,2854,Rawah,7202,2
2895,162,12,124,16,3313,231,243,142,2084,Rawah,4744,2
2916,97,11,470,3,4819,238,224,116,3000,Rawah,7202,1
3320,83,8,391,78,902,232,226,127,1189,Commanche Peak,8772,7
3116,45,8,85,7,1158,223,223,135,2190,Rawah,7201,2
2704,45,15,300,-9,816,223,207,115,216,Commanche Peak,4703,2
2793,2,17,30,1,1129,194,206,146,1806,Commanche Peak,7700,2
2682,5,9,420,70,924,209,223,152,1224,Rawah,4744,2
3034,85,8,0,0,3201,232,227,128,5426,Rawah,7102,1
2819,59,10,190,33,3051,228,219,124,4739,Rawah,7700,2
3076,312,12,134,15,2881,186,231,184,1448,Commanche Peak,7755,2
3392,212,9,1148,190,3094,213,249,172,1299,Commanche Peak,8771,7
3066,137,22,256,58,706,248,225,93,1397,Commanche Peak,7202,2
2755,310,37,594,339,932,97,187,216,1332,Commanche Peak,7710,2
3034,298,4,457,124,2041,210,238,167,2582,Commanche Peak,7756,2
2626,43,9,301,14,859,222,220,133,871,Rawah,4744,2
2946,196,6,95,7,1401,219,245,162,474,Commanche Peak,7756,2
3418,176,11,451,218,2512,226,246,152,696,Commanche Peak,8771,7
3308,83,6,90,6,4410,229,230,135,3878,Rawah,8771,7
2723,16,12,124,10,1790,209,214,141,1304,Rawah,7745,1
2949,45,13,331,36,4570,223,210,119,4087,Rawah,7745,2
3092,330,5,691,49,785,207,233,165,916,Neota,7201,2
3201,6,16,443,74,2214,199,208,144,3449,Commanche Peak,7755,1
3132,276,12,0,0,553,187,243,195,2155,Neota,7201,2
3166,106,9,150,0,1194,235,229,125,2382,Rawah,7202,1
2502,7,8,175,29,510,210,224,151,1471,Cache la Poudre,2717,3
2588,110,13,30,5,994,243,225,108,2242,Rawah,7746,2
2443,322,18,309,120,1535,170,218,187,420,Cache la Poudre,2717,6
2914,143,5,272,68,1832,227,239,145,977,Commanche Peak,7790,2
3084,130,17,30,1,3463,246,228,105,2424,Rawah,7745,1
2678,256,35,60,32,1018,120,236,240,1381,Commanche Peak,4758,2
2683,17,21,330,14,1265,198,192,124,2742,Commanche Peak,4703,2
3017,238,26,351,-61,2952,165,251,215,1020,Commanche Peak,4758,2
2954,228,19,42,0,1415,189,254,197,2620,Commanche Peak,4758,2
3287,219,6,371,92,5048,213,246,169,1071,Rawah,7745,2
